Name,Dialog,Topic
Baljeet,"Now Buford, your mindless bullying may have a rustic charm stateside, but now we are in Europe. A place of high refinement. So let me do all the talking. (They go inside a restaurant and speaks with a man in a different accent) Excuse me, sir. Would you have any used cooking oil that we could have?",Relationships
Baljeet,"Because today is the Tri-State Area Unification Day! I learned all about it in Assimilation class. You see, the Tri-State Area was the bi-state area until our founder, the great John P. Trystate, uttered the immortal words:",School
Baljeet,"W-what? Uh, uh, oh. Thank you. (Flashlight switch flips; Wolf howls) Well, this is a story about a kid who comes to this country, and goes to camp. He, like, has to share a tent with a bully. It's really quite terrifying, actually. Quite terrifying. (Crickets chirp; Flashlight switch flips)",Relationships
Baljeet,"Technology like that is twenty years away; you will need a time machine. Luckily, I have been working on a design. I have not figured out all the quantum physics yet, but if you give me a couple of days...",Science / Inventions
Baljeetolas,"I have an idea. I think I have a way to get you across this swamp. I have been working on a way of solving problems by the process of deriving reliable generalizations from observation. I call it ""logic.""",Science / Inventions
Baljeet Replicas,"(All at once) He is always giving us a hard time...He says he is our friend! Would a friend steal your bike?! To be fair, he stole everyone's bike...And what about the time he drank all the water out of our fish tank?!",Relationships
Baljeet,"Based on his extensive history of malapropisms, I would say that he is talking about the Chupacabra, the Latin American goat sucker, that is said to haunt the deserts of Mexico and South-Western America.",Infodumping
Baljeet,"Useless Shoelace Facts, Volume 8. ""The plastic or metal tip on the end of a shoelace is called an... aglet. A-G-L-E-T. It is one of the most useful, yet tragically ignored inventions in all of history"".",Infodumping
Baljeet,"Well, they must have disappeared through a temporal rift. If we could calculate the location of the next rift, we could just throw in a rope with a life preserver tied to the end of it and pull it out.",Science / Inventions
Baljeet,Yes. They do a tail-wagging dance to alert each other to a source of food. (in background) The waggle explains the angle to the destination in relations to the imaginary line between the sun and the door of the hive.,Science / Inventions
Baljeet,"Actually, most would consider dragon-fruit to be that exotic, indeed. (Buford starts to imitate Baljeet) Known for its dazzling flowers, it is actually the fruit of several... (Sees Buford mocking him) What are you doing? St-Stop that. Uh-Ah-buh- (Baljeet starts drinking his smoothie, and Buford mocks him doing that as well) Stop that.",Science / Inventions
Baljeet,"And it is so simple! I can use an ion coupling device to attract each atmospheric molecule to the second greatest gravity source, which in this case, is the moon, and after the initial impact...",Science / Inventions
Baljeet,"...and at the destabilization point, the vortex collapses in on itself, and it becomes an actual ""hole"" in space-time, sucking the nearest person or object into it and they are lost in the void.",Science / Inventions
Baljeet,"Phineas and Ferb, days ago, you helped me build a portal to Mars. Now, I beg you to help me win the Biggest Watermelon Contest at the festival. Help me, Phineas and Ferb. You're my only hope! (Looks around and then turns off his hologram)",Phineas and Ferb
Baljeet,(goes over to the dandelion and picks it) Hmm... (drawing on the fence) Two point seven-three-two times ten to the twenty-sixth power of particles. But I could not tell you the exact location of any of them because of the Heisenberg uncertainty principle,Science / Inventions
Baljeet,"Well, I got kicked out of summer school because my grades were too high. But then I heard about this place! Sure, they break you down and strip you of your identity, but school is school.",School
Baljeet,"It looks like the next anomaly will appear any second now. I am working on the exact coordinates, but there is significant interference. It looks like there may be multiple rifts coming.",Science / Inventions
Baljeet,"From my observations, Candace's instability stems from her desperate need for attention, which she clearly is not getting from her mother. It is no wonder Candace is crying out for help.",Relationships
Baljeet,"So after hiding in the bathroom, I jumped out the window and came over here as quickly as possible. I do not even know how to act in front of a girl! I do not even know what girls like.",Relationships
Baljeet,"Oh, no! The portal is broken! Ooh, now I will not get a good grade at the science fair tomorrow, and, uh,... there's also the issue of your sister stranded on a distant, barren planet.",Science / Inventions
Baljeet,"Ghosts, there is no such thing. Look! My EMF readings are three milligauss. Normal background radiation. And when we point it at the room, it is also... Well, that cannot be right.",Science / Inventions
Baljeet,Buford! You're completely disrespecting this classic song. You're ignoring the historical context! King Wenceslas was a great man. You have no idea what this song is about!,Relationships
Baljeet,"No! There is always a way! Isabella teaches the emergency preparedness class for the Fireside Girls. She could build a generator in her sleep. Is that not right, Isabella? (who is not here)",Science / Inventions
Baljeet,"Actually, you did, too. Since our planet's orbit of speed around the sun is 67,000 miles per hour and you are on its surface and speeding around the sun as well. (Buford spins the hat on Baljeet's head.) Quit it!",Science / Inventions
Baljeet,We are so privileged to be here in this strange and beautiful place. To think that the greatest minds in history have been searching for Atlantis for thousands of years.,Philosophy
Baljeet,You are missing the point! I do not know that if I chose strawberry I would get hit by a bus! I am just saying that every decision we make has unforeseen repercussions!,Philosophy
Baljeet,"This place must exist outside the flow of time. Candace, you were the only one of us outside the loop. Were the looping intervals decreasing in chronological amplitude?",Science / Inventions
Baljeet,I have an idea. (Wipe to him later on) Phineas and Ferb made me this 3D projector. I can project one of their projects right into the yard here. Your brother will think they just built it.,Science / Inventions
Baljeet,Your blueprints are 97% sound. But you accidentally placed a cosine where you needed a quadratic differential! (laughs) Not to worry. I fixed it. I will send an attachment.,Science / Inventions
Baljeet,"No can do, Phineas. I am taking an eastern Indian cooking class. We are going to make goat vindaloo. If we can ever find a goat. (goat brays offscreen) Oh! There is one now. Got to run! (runs away)",Food
Baljeet,"Yes, but now I've got to write her back in a passive way that makes her think it's really her idea. She is trying to manipulate the situation. (He takes another bite of his sandwich) It is how we love.",Philosophy
Baljeet,"I know this goes completely against all logic and therefore makes it totally out of character for me to say, but I think you may have been cursed with bad luck.",Philosophy
Baljeet,"Well, since the Phineas and Ferb from the first dimension suggested we make the most of our summer, Buford and I have been experimenting with fun, and so far...",Science / Inventions
Baljeet,"Well, the slowly melting ice of the wheel creates a slick surface, eliminating friction. (Close-up on Baljeet.) Gravity converts into angular momentum, giving us perpetual mo—Hello?",Science / Inventions
Baljeet,"Well, we have to build something to close the hole and stop the looping.  But it will require einsteinium, tungsten wire, and micro-crystal plasma resistors.",Science / Inventions
Baljeet,"No! I moved polka back so I could answer your question! It would take some major rearranging, but I think I can at least come to watch you make the bubble.",Infodumping
Baljeet,"Plot all you want, I have my eye on you! No one will be able to stop me from stripping away the Earth's atmosphere! Oh, the things I will be able to see!",Science / Inventions
Baljeet,"She has absorbed too much water! She is nearly two tons! We cannot fire the device until she is close to her normal density! Otherwise she could explode!""",Science / Inventions
Baljeet,"No, that is Venus. And that is Earth in prehistoric time. (Gasps, yells) Change it, change it, change it! Whoo, Hey, look, it is us in the future fixing the portal.",Science / Inventions
Baljeet,"Well, let us see. (transitions to Eiffel Tower) Oh, this is from the time Phineas and Ferb built a full-scale replica of the Eiffel Tower. I will hide the projector in the bushes.",Science / Inventions
Baljeet,"For your safety, Mishti, I invite you to hold on to the rail. It appears to be very clean, which I know is important to you now that you are a girl.",Infodumping
Baljeet,"(runs up) Phineas! Ferb! I saved Buford's life, and now because of the Bully Code, he is my personal servant! It is driving me crazy! You have got to help me!",Phineas and Ferb
Baljeet,"(offscreen) HEEELP!!! (Runs onscreen) Help! Phineas and Ferb, and to a lesser extent, Buford! I am having an existential emergency! I find myself incapable of making decisions!",Phineas and Ferb
Baljeet,"You know, if I am good enough to impress the Katherine Marshall, maybe my acting talents are worth cultivating. Maybe I should take a class. Buford?",Image
Baljeet,"Well, folks, I do not know about Western cinema, but this Forced Perspective Western Town has been a hoot, which I am just now realizing is a thing.",Infodumping
Baljeet,"I did it! I won a bike race! Thanks to Greg LeMond inspiring me. And then, you know, getting attacked by that tiger. By the way, I hope he is okay.",Infodumping
Baljeet,"Yes! Yes, it does! This way my work will not be interrupted by creatures who cannot possibly understand it! Like raccoons, or people, for instance.",Science / Inventions
Baljeet,(on radio) Not to add pressure to what is already a high-pressure system... (giggle) but we have six minutes and forty-one seconds 'til your mom dissipates completely!,Science / Inventions
Baljeet,"I said early. Anyway, under personal preferences, I could not decide whether to select 'Loop' or 'String' theory. I was paralyzed with indecision!",Science / Inventions
Baljeet,"When she looked at you, her pupils actually formed little hearts. Like, I do not know how that is physically possible. She changed her eyeballs!",Relationships
Baljeet-2,"I will try to keep it open for as long as possible, but the window is very unstable. Even the slightest disturbance could cause it to collapse.",Science / Inventions
Baljeet,"N-No! Of course not, sir. Hehe (walks off; comes back with a chicken-shaped out of peanuts) Here, sir. Try our deluxe peanut chicken. Our **motto** is: ""So Peanutty, you will not even taste the chicken!""",Infodumping
Baljeet,That's because it is. Every minute of my entire day is planned out right here. Remember how you told me to seize the day? Consider it seized!,Philosophy
Baljeet,"Thank you, Phineas. (Cut to the dining room. The gang is gathered around the table in their pajamas.) In researching for my very first slumber party, in which I am so excited to stay up past my regular bedtime of 9:30 p.m…",Phineas and Ferb
Baljeet,"Technically, we will not be drifting. More like violent ejection, plummeting through the atmosphere and crashing onto the planet's surface.",Science / Inventions
Baljeet,"The weight of your freakish muscles will only pull you down faster. And why does he just stare off into space like that? (screams) Phineas, help us!",Relationships
Baljeet,"But the part that perplexes me the most is that, for some reason, the sun algorithm that I created keeps coming up with the wrong result!",Science / Inventions
Baljeet,(blinks) Huh. I had not noticed that. I acknowledge your accomplishment with limited praise as an emotionally-restrained mentor. Let us do this!!!,Relationships
Baljeet,"Seeing as there are 34 sheep in the circumference, if we calculate the sheep radius and multiplied by y divided by 3πr², you would get... (falls asleep on the ground, snoring.)",Science / Inventions
Baljeet,"Well, I stand corrected. You seem to have a lot of information. But if you know so much about it, why do you not sing the original song?",Relationships
Baljeet,"Wrong. It is very primitive and aggressive. We do not want to meet it in here. (shows gazelles that look like Phineas and Ferb running away from the id.) Obviously, you see Phineas and Ferb as some sort of prey.",Phineas and Ferb
Baljeet,"Perhaps we can give you a recharge, but, of course, this time with the correct powers. We have been working on rebuilding the machine.",Science / Inventions
Baljeet,Uh my schedule is extremely tight. I doubt I even have a second to answer your question. Maybe if I move my polka recital back. Okay.,Infodumping
Baljeet,"On a multi-valve engine with variable timing, how can I isolate an exhaust valve leak at the stem seal without removing the camshaft?",Science / Inventions
Baljeet,"Do not worry, Phineas. With all of her training, she will be fine. Just last week, she earned her Judo, Hapkido, and Jujitsu Patches.",Relationships
Baljeet,"By chance. I ran into the director, Katherine Marshall, and she thought I would fit a particular role. A character called ""Exterra"".",Relationships
Baljeet,"I am not mechanically inclined like the two of you. To truly understand my predicament, I feel it will be best expressed in a song. (Claps hands twice)",Philosophy
Baljeet,"(To Ferb) You know this is pretty tame compared to other roller coasters, but when you compare it to other dental themed rides, it is a rush!",Phineas and Ferb
Baljeet,"(looking at a tablet) Inexplicably, your mother's vaporized bits have coalesced with the high humidity in the air to form a ""cumulo-mom-bus"" if you will.",Science / Inventions
Baljeet,I feel this may not be the best way to block a shot. Clearly I was - Clearly I was wrong about that. That was most effective. Aah!,Relationships
Baljeet,"You know, Isabella, I sometimes wonder if it was mere coincidence that it was you and I chosen to portray the young, happy couple.",Relationships
Baljeet,"Then, they put it all together to make you this salad. There are still grasshopper legs in it, but other than that, it is not bad.",Food
Baljeet,You will be most gratified. As long as you find insignificant bags of peanuts gratifying… Welcome to Wedgieville. Population: me.,Food
Baljeet,"Okay. (Baljeet makes some calculations.) Right... (pointing on a map) There! In fifteen seconds, that is the point of maximum disturbance! So it should be appearing right over...there! (A groundhog gets sucked into the rift.)",Science / Inventions
Baljeet,"While this Forced Perspective Town is charming, it has not changed my perspective. I still find the Western film genre tacky and— (screams as a giant tumbleweed runs him over)",Infodumping
Baljeet,Ferb has discovered a way to temporarily alter road surface modules from a solid to a liquid state around the hull. Fascinating!,Science / Inventions
Baljeet,"Oh, that's it! I will become Hanuman Man, a flying blue monkey that can grow as massive as he desires to crush all in his way! (pause)",Infodumping
Baljeet,"Do me a favor. Next time you want to make a fiendishly clever computer-controlled contraption, call one of your other friends.",Relationships
Baljeet,"Aww! I got you in my tractor beam! (starts pushing buttons) Time to strip the atmosphere from our planet, and allow an unobstructed view of the cosmos!",Science / Inventions
Dr. Baljeet,All we have to do is get these magnetic deprogramming chips near the cyborgs' frontal lobes and they will no longer be evil.,Science / Inventions
Baljeet,"Well, winning does take the sting out of the fact that there is obviously a horse out there somewhere with only three shoes.",Philosophy
Baljeet,We could remove you to a sterile environment and get a board certified surgeon to cleanly and safely preform a Jere-botomy.,Science / Inventions
Baljeet,"Um, hello? Can we discuss the bigger problem? And by ""bigger problem"", I mean ""THE BERSERK NECROSLUG THAT IS ON THE LOOSE""!",Infodumping
Baljeet,"It is like our own miniature Canada! But, of course, without the beavers, moose, and disproportionate number of comedians.",Infodumping
Baljeet,"You know, saliva is 98% water and the other 2% is made up of very beneficial electrolytes. It is gross, but it is science.",Science / Inventions
Baljeet,"And now, for my final trick, (cut to main stage) I will reattach my thumb! Feel the rhythm, feel the rhyme, come on thumb, it's healing time.",Science / Inventions
Baljeet,"If by okay, you mean that my life is a meaningless, black cauldron of swirling failure... then yes, everything is groovy.",Philosophy
Baljeet,You are amputating two perfectly good words and stitching them together. They are the Frankenstein monsters of grammar.,Philosophy
Baljeet,Last stop! I'm afraid there is no way to get to the East Coast by boat unless you go all the way around South America.,Infodumping
Baljeet,"Finally, we have been able to harness the energy in raw vegetables to power the unicycle. But how will we make it fly?",Science / Inventions
Baljeet,"Buford, these equations show that if we combine your brawn with my brains, we can conquer the final target together!",Relationships
Baljeet,But how? Mr. Random is already miles away. We have no idea where he is going and no way to get there except on foot!,Infodumping
Baljeet,There is a new Space Adventure movie filming in Danville. (takes out a poster) The Namrak Necroslug. And I have been invited to audition!,Infodumping
Baljeet,"We're going to the circus! We're going to the circus! (Cut to the kitchen, where Phineas, Ferb, Isabella and Django is eating Pow cereal... aside from Buford) I am here and ready to go to the world-famous Cirque de Lune.",Infodumping
Baljeet,"Because of the 17 summer school classes I am taking, I qualified for the science fair. So I decided to design this.",School
Baljeetolas,"Greetings, adventurers! If by my bow, or my vast store of useless knowledge I may aid you... Hey, where is my bow?",Philosophy
Baljeet,(Sarcastically) And spoil my carefully calculated air of selfishness and unconcern? Not until the last second thank you very much! (Baljeet and Buford sail away leaving the rest of the group behind),Image
Baljeet,"Huh, if you convert the basal molecules into an adenosine triphosphate engine, it might be theoretically possible.",Science / Inventions
Baljeet,"(Seeing Buford fall) Oh no! Buford is in trouble! I must do something! (He goes to a man selling balloons) Please, my bully is in trouble, let go of all of your balloons.",Relationships
Baljeet,"Good, we will just wait here and eventually, the fuel will run out. (Isabella and Buford look at him) Ohh... And then she will plummet to...yeah...",Science / Inventions
Baljeet,"YES! I have BEAT you, Danville Mountain! In your cliff face! Ha ha! I cannot wait to tell Buf- oh. That is right.",Relationships
Baljeet,"Hmm... maybe it is not too late. We should try to get them together. You know, before Isabella leaves for school.",Relationships
Baljeet,"So you are telling me that even though you are now a girl, you still like to have fun just like in the old days?",Relationships
Baljeet,Ah! this is catastrophic! Should we not do something? Should no one inform the populous of the impending impact?,Infodumping
Baljeet,I have been making mental notes of the paths and probabilities as I have gone along. It will be a piece of cake.,Science / Inventions
Second Baljeet,"This is great! Now that I have made both choices, I will no longer miss any opp- What do you know! I was right!",Infodumping
Baljeet,"Really? Because usually, people are either gone or fall asleep by the time I get to this part of the sentence.",Relationships
Baljeet,"Huh. Usually, some unforeseen element would have removed our invention by now. Perhaps we should take it down.",Science / Inventions
Baljeet,"(getting out a binder) …I present to you the ultimate sleepover checklist! Movies, a pillow fight, ice cream sundae bar, some mores (s'mores)…",Relationships
Baljeet,You mean test the resiliency of our cartilaginous collusion with vigorous application of weight and velocity?,Science / Inventions
Baljeet,"No, no please! I have given my solemn oath to protect the little monotreme until the Flynn family comes home.",Relationships
Baljeet,"(Holding a plastic dummy that looks just like him) Thank you. Thanking you much. So little Jeet, I hear you went to New Delhi. And did you try the chicken club?",Relationships
Baljeet,"I can see how that would be relevant if we were going to eat it. We are not going to have to eat it, are we?!",Food
Baljeet,"Another week's allowance replacing wedgied underwear. If I had anything left, I would invest in the company.",Philosophy
Baljeet,"I did not go through six years of ninja school just to be called Dr. Baljeet. It is Dr. Ninja Baljeet, okay?",Image
Baljeet,"(With a wide smile ""frozen"" on his face) I have been here since midnight waiting for everyone! I can't stop smiling! I have got cramps in my cheeks.",Relationships
Baljeet,"Because, (hands it to Buford to hold) as a person of superior intellect, I require an angry wall of meat to protect my science project.",Relationships
Baljeet,"Shape-shifting alien zombies, fair enough, but I must tell you that I am kind of using my brain right now.",Image
Baljeet,"Somebody take a picture of me next to this dust bunny! (shutter clicks as Ferb jumps on the shutter of the large camera) Phineas, this is amazing! Everybody should shrink.",Phineas and Ferb
Baljeet,"If we could just stick to the topic, please. Five minutes and forty-eight seconds ago, back in my home...",Infodumping
Baljeet,"That is what I said! Sure, give the weird stuff to Baljeet! Who cares if it does not work out of context?",Philosophy
Baljeet,"No! No, you cannot! We looked all over the place, but there are no potatoes in the entire Tri-State Area!",Food
Baljeet,Who cares? I am finally free to live my own life! I feel like I can do anything! Like...climb a mountain!,Philosophy
Baljeet,"(in a deep voice) Hey, guys. (he coughs and returns to his normal voice) Oh! Something was caught in my throat. So, still trying to figure out where to go to school?",School
Baljeet,"(takes the device) I do not know what that will prove. The space-time continuum is remarkably stable, and—Oh, my goodness!",Science / Inventions
Baljeet,"Well, without over-complicating things, it's a portal to Mars. You step through it and you're on Mars.",Infodumping
Baljeet,"""If a nerd shood save a bully's life, the bully is the nerd's slave for life."" ""Should"" is misspelled.",Philosophy
Baljeet,"(laughing) Yes, he does! But there is still one problem. I do not know how to act. I have a hard time pretending.",Relationships
Baljeet,"(Squealing) I was too excited to wait. (Takes off his wig) I shaved last night. Just call me Bald-jeet. Heh-heh. Get it? ""Bald-jeet""?",Infodumping
Baljeet,"Oh, no, no, no. Phineas and Ferb's blueprint was already brilliant. I just made a minor modification.",Phineas and Ferb
Baljeet,"Well, I usually attend college level conferences, but I thought I would dumb it down for the weekend.",School
Baljeet,"Yes! That was very kind of you to invite us to your grandparents' house. (A basketball flies by, and he ducks to avoid it) No fair! That almost hit me!",Relationships
Baljeet,"They are really into online gaming now! Hey, who cast a sleep spell on me and stole all my gold? Ugh!",Infodumping
Baljeet,"Just some old friends. In post-apocalyptic battle gear. Okay, maybe ""friends"" is stretching it a bit.",Relationships
Baljeet,Just follow the trajectory I plotted out and I promise you will hit the final target! We can do this!,Philosophy
Baljeet,"The blender-copter! Of course! Those cloud milkshakes brought all the boys to the yard, and Isa, too.",Relationships
Baljeet,"Ah, there it is! The finish line, right on the other side of Danville Chasm. I am going to win this!",Infodumping
Baljeet,"Look, Chinese eviscerating fish. Though I suppose here in China we just call them eviscerating fish.",Food
Baljeet,"You know, for the record, I would like to not be in a position today, where I have to eat this wall.",Food
Baljeet,We may be doomed but these nimble fingers and five years of violin lessons can play us out in style.,Image
Baljeet,"This place is creeping me out. If I had any underpants left, I am sure they would have been soiled.",Infodumping
Baljeet,"Ahh. Now I'll just hang out and ""be cool"" till my teacher gets here. (Wide smile appears on his face again) Uh-oh, it is happening again!",School
Baljeet,"Uh, some friends of mine have planned... (pulls out brochure and reads it to her) ""an all-inclusive luxury cruise around Danville Harbor"".",Relationships
Baljeet,"It is okay, Mrs Flynn-Fletcher, we were just talking about how easy it is to make a bad decision. (Awkwardly dusts Buford down)",Philosophy
Baljeet,Thank you! I got it at Astro Camp today. (Buford spins it again.) Quit turbocharging the orbital speed of my solar system!,Science / Inventions
Baljeet,"My time is limited, Magician. I must gather my positronic impulses for the coming battle. Speak.",Infodumping
Baljeet,Phineas pulled a jiao with giant mechanical feet out of his backpack and that is what bugs you?,Phineas and Ferb
Baljeet,I know! But it took me three minutes to remember how to give my self a CAT scan! I am slipping!,Image
Baljeet,"Jetpacks? I thought you were -- (picks up Isabella's decoy) Wood pulp effigies? Ha ha ha ha! Clever, but not clever enough!",Relationships
Baljeet,"(to Buford) So, if you do not believe the flying saucer is real, why did you want to take a turn flying it?",Infodumping
Baljeet,I have composed a simulation for turning the Earth's core into a gyroscope. Maybe that would... (groans),Science / Inventions
Baljeet,Wow! The fact that we cannot open it makes discovering the contents that much more tantalizing!,Infodumping
Baljeet,I do not know if it is so much cause and effect. I do a lot of math! The feelings come and go.,Science / Inventions
Baljeet,"(to Buford) Stop looking at me, I am not going to do jazz hands! Even though you have totally earned it...",Image
Baljeet,"(Still reading the brochure) ""Highlights of the evening will include a romantic candlelit dinner with–""... oh, she's gone.",Relationships
Baljeet,"Aghh! You can build a rollercoaster in a day, but it takes you 12 minutes to pump up a tire?!",Phineas and Ferb
Baljeet,"Oh, but what about all those innocent baristas and bank tellers and bowling alley attendants?",Infodumping
Baljeet,All of that work and all in vain. If only there was some way to go back to being forgettable.,Philosophy
Baljeet,"Inside I am thanking you a thousand times, even though on the outside I remain quite frugal.",Philosophy
Baljeet,"This is great! With my stimulated brain, I am dreaming up all sorts of super smart projects!",Image
Baljeet,"So, Buford, we are literally sitting inside a flying saucer. Do you still not believe in it?",Relationships
Baljeet,"Oh, yes, I can help you, Irving. I might just be the unsung intellectual giant of the group.",Relationships
Baljeet,It got me through hoof and mouth disease. And I have already downloaded my favorite episode.,Infodumping
Baljeet,"Ha ha! Yes! What he said! In da face! (Laughs) Uh-uh, I mean... You will get him next time. Clearly.",Relationships
Baljeet,"Radius times the angle of rotation, taking into account wind velocity and humidity! (He throws a piece of vine, capturing Buford by his ankle.) Brains!",Science / Inventions
Baljeet,Do not worry your pretty little head. I have plenty of experience with this sort of thing.,Relationships
Baljeet,Do you find it as curious as I do that your menu has not changed since you opened in 1929?,Infodumping
Baljeet,"Wait, wait, no Buford. No. No. No. Please don't. (A red liquid splashes Phineas, Ferb and Isabella) I was going to eat those jelly doughnuts.",Food
Baljeet,"Hey, Buford, your voice is so raspy. It sounds as if sandpaper and a washboard had a baby.",Relationships
Baljeet,"At some point, the food will run out, and we will be forced to make ""difficult decisions"".",Food
Baljeet,"Hello, Buford, I hear you are under the weather and I have just the thing to cheer you up.",Relationships
Baljeet,"Let me explain. Four years ago, back in India, we used to have such a good time together.",Relationships
Baljeet,"Buford, hitting a baseball involves the basic principles of (graphics appear above his head) velocity, force and geometry.",Science / Inventions
Baljeet,"We'll build the perfect dinner date for Isabella and Phineas. Their favorite food, music.",Relationships
Baljeet of the future,"Hello, Baljeet of the past! Just watch us. That is how we learned to fix it. Gesundheit!",Relationships
Baljeet,Wow; I have no idea how to respond that. (Pauses) I think I will be continuing with the race now.,Infodumping
Baljeet,"Buford, what are we going to do? Phineas wants us to stall. We gotta think of something!",Phineas and Ferb
Baljeet,"Using Ferbographic technology, we are simulcasting our virtual selves around the planet!",Science / Inventions
