Season,Episode,Name,Dialog
1,1,Linda,(dryly) And you're not crazy because...?
1,1,Linda,"I see your point, Candace. No crazy person would scream at a post like that. I'll be at the dairy section if you wanna come yell at some cheese, or anything. (leaves)"
1,1,Phineas,"Ladies and gentlemen, boys and girls, children of all ages! May I present to you a spectacle most of the morning in the making"
1,1,Phineas,"So, who wants to go first?"
1,1,Phineas,"To fasten, insert the tab into the metal buckle. To release, just pull back on the -- oops."
1,1,Phineas,"Well, you get the picture. Well, that's about it, enjoy the ride."
1,1,Phineas,"You guys all signed the waivers, right?"
1,1,Phineas,"Relax, they're just rubber!"
1,1,Phineas,"Hey, look, there comes the AH-AH-AH-AH!"
1,1,Doofenshmirtz,"...I really make of my money back, I-I-I want a really spacey real estate, and sell it again."
1,1,Doofenshmirtz,"Ha, you missed!"
1,1,Doofenshmirtz,"Aaaoow!! Ow, Ow, Ow, Aaooww!"
1,1,Doofenshmirtz,"Now you are too late. Quake in your boots and watch helplessly, as the unimaginable electromagnetic forces, pull the eastern seaboard, thereby reversing the rotation of the--"
1,1,Doofenshmirtz,Well...that didn't work.
1,1,Doofenshmirtz,"And now, we have a two ton ball of tin foil traveling 200 miles per hour directly at us! Quickly, we must separate the magnet from the Magnifier before it's too late!"
1,1,Linda,"Now I know I have that club card in here somewhere. I always have it with me, but my purse is a disaster area, you know how it is."
1,1,Candace,"Oh, oh, oh, oh, oh! Mom? Mom!? (She rushes off.)"
1,1,Doofenshmirtz,"It's no use, it's no use, we are doomed!"
1,1,Doofenshmirtz,"You did it! You saved us, Perry the Platypus! (The ball of tin foil crashes through the building.) Curse you, Perry the Platypus!"
1,1,Candace,"Look, look, look, see?"
1,1,Linda,"(pause) Okay, I give up, what am I supposed to be looking at?"
1,1,Candace,(turns to see the empty parking lot) No!! It's not POSSIBLE!!!
1,1,Linda,(going back inside) I'm gonna go get the cart.
1,1,Candace,IT WAS RIGHT HERE AND IT WAS HUGE!!! (sees the rollercoaster fly away) Mom!
1,1,Linda,"(walks past, taking her cart) Time to go. I've got frozens."
1,1,Candace,"Okay, so you think that Phineas and Ferb are still under that stupid tree in the backyard, right?"
1,1,Linda,"Well, yes, that would be my guess."
1,1,Candace,"Fine, then lets go home. Now! (She pushes her.)"
1,1,Phineas,"Oh, there you are, Perry."
1,1,Phineas,"Nice hat, Isabella."
1,1,Phineas,"Funny, I don't remember this in the blueprints."
1,1,Phineas,And I'm sure this is new.
1,1,Candace,Hehehehehehehehehehe!
1,1,Linda,"I worry about you sometimes, Candace."
1,1,Employee,"Welcome to Mr. Slushy Burger, may I take your order?"
1,1,Phineas,Anyone want fries?
1,1,French Man,Croissant?
1,1,Phineas,"Anyone want a... (French accent) ""quasson""?"
1,1,Phineas,"You know, if that thing crashes into earth, Candace is in charge."
1,1,Phineas,We should have charged more.
1,1,Linda,"Okay, we're here, are you happy now, Candace?"
1,1,Candace,"Yes. (At Linda) See Mom, I told you they weren't there!"
1,1,Linda,"Oh, hi boys."
1,1,Phineas,Hi Mom.
1,1,Linda,"Come on Candace, help me with the groceries. (goes off)"
1,1,Candace,"But, but, but, but, but, but, but... (Continues under)"
1,1,Linda,(comes back) Let's go. (pulls her away)
1,1,Kid,"Hey Phineas, that was great."
1,1,Pedro,Way too cool.
1,1,Third kid,That was awesome! Can we do it again?
1,1,Phineas,"Sorry, only one ride per customer."
1,1,Isabella,"That was great, Phineas. So, what are you gonna do tomorrow?"
1,1,Phineas,Don't know yet.
1,1,Isabella,(pets Perry) Maybe you could teach Perry some tricks.
1,1,Phineas,"Well, he is a platypus, they don't do much."
1,1,Ferb,They're the only mammals to lay eggs.
1,1,Phineas,...Maybe he'll lay an egg.
1,1,Isabella,"Cool, see you tomorrow. (goes to the gate) It really was the coolest coaster ever. You guys makes a great team."
1,1,Phineas,"Well, a brother is a brother, but I couldn't have asked for a better one than Ferb. You know what I mean?"
1,1,Phineas,"Oh-ho-ho, man! I could smell the peanut butter!"
1,1,Isabella,"Well, that was impressive. See you, guys. (leaves)"
1,1,Phineas,"So, what should we do tomorrow? There's a world of possibilities. (pause) Maybe we should make a list!"
1,1,Candace,(from inside) Mom!!
1,1,Linda,"(from inside) Give it a rest, Candace!"
1,2,Stanky Dog,"This is Stanky Dog comin' to you on the hottest of the summer! Unless you live at the beach, I say take it easy and do nothin' today. Yup, just find yourself a shady tree, and maybe an aquatic mammal of some sort, and blow the whole day off."
1,2,Phineas,"Come on, Ferb. If we let a little heat stop us from having the best day ever, then the morning DJs win."
1,2,Linda,"Ooh, boy, it's hot today! So what are you up to?"
1,2,Phineas,"We're making our own beach, right here in the backyard."
1,2,Linda,"(Oblivious) Oh, how cute. Well, I'm off to my spa day. You boys behave yourselves and don't bother your father. He's finally cleaning out the basement. (Leaves)"
1,2,Candace,"Bye, Mom! Yes! You heard her. We can't bug dad which makes me in charge... by default. (pauses) Carry on."
1,2,Phineas,"We're gonna need more sand. Hey, where's Perry?"
1,2,Major Monogram,"Good morning, Agent P. Lawn gnomes across the Tri-State Area are disappearing, leaving thousands of gardens unprotected from the evils of black magic. We suspect Doofenshmirtz. Get right on it."
1,2,Contractor,Aren't you a little young to be a landscape contractor?
1,2,Phineas,"Yes, yes I am."
1,2,Isabella,"(Offscreen, dreamy look and voice) Hi, Phineas. (Walks up to him)"
1,2,Phineas,"Oh, hey Isabella."
1,2,Isabella,Whatcha doin'?
1,2,Phineas,Building a beach. Check it out.
1,2,Isabella,Can me and the Fireside girls be lifeguards? We need to earn our Aquatic-Safety badges.
1,2,Phineas,Sure.
1,2,Candace,"I mean, I've been a friend of Suzy's longer than Katie, so I should've been invited to that party first. I don't care if they're lab partners! We're locker neighbors. And locker neighbors trumps lab partners any day. (Gasps) Sorry Stacy. Gotta go."
1,2,Phineas,Welcome to our beach.
1,2,Candace,"Hah! You call that a beach? This is WAY below your usual standard. This isn't even worth a call to mom. You know, if you guys ever want to be popular, you're gonna have to stop playing in sandboxes. (Gets hit by a beach ball) Hey!"
1,2,Phineas,"So Candace, what do you think?"
1,2,Candace,That's it! I'm calling Mom. (dials the phone)
1,2,Stacy,"Hey, Candace."
1,2,Candace,Jenny? Stacy?
1,2,Jenny,You never told us you have a beach in your backyard!
1,2,Stacy,You're going to be the most popular girl in the neighborhood.
1,2,Candace,I will?
1,2,Stacy,I just saw Jeremy and his buddies with their surf boards.
1,2,Candace,"Jeremy's here? (Panting, drops phone) Gotta go! (Zips off)"
1,2,Doofenshmirtz,"(chuckles) Yes, yes! Just look at the bounty of gnome riches! Oh, this is a strange one. Wait, who are you? ... A platypus? ... PERRY THE PLATYPUS?! You are mine now! (Presses button, garage door opens) Oh no, wait, wait, wait. That was the garage door opener. You are mine now! (Presses button, large monitor activates) And that was the TV remote. I've got to start labeling these things. Aha! YOU are mine NOW! (Laughs maniacally) Finally, I will rid myself of you! (brings out another control) But first, turn your attention to the giant screen and... (the garage door closes) Hmm, maybe I need to turn the cable on first?"
1,2,Phineas,Let's get this beach party started!
1,2,Phineas,"Hey, look! I can see our house from up here!"
1,2,Candace,"(Coconut falls) Oh! (Falls on crab, Groaning)"
1,2,Crowd,How low can you go? How low can you go?
1,2,Dancer,Look! So that's how low you can go. We've been asking that question for generations!
1,2,Candace,What? What's everybody looking at?
1,2,Dancer,"For winning the limbo contest, you are now officially crowned Queen Wahini of the beach! All hail Queen Wahini!"
1,2,Candace,(overjoyed) I can't believe it!
1,2,Candace,I've never been happier in my entire life!
1,2,Linda,"Something is very wrong. Not a single call from Candace. (Checks her phone) Not even a text message. Oga, hose me down. I'm going home."
1,2,Doofenshmirtz,"Okay, I think I finally got the right one. Now, Perry the Platypus, (Shines flashlight on him) you will finally understand...my PAIN! (presses remote)"
1,2,Doofenshmirtz,"(narrating) Back in Gimmelshtump in the days of my youth, the Doofenshmirtzs' were a proud family. But those were lean times for my father and our beloved lawn gnome was repossessed. Who would protect our zatzenfruit garden from those witches, spells and wood trolls? From a tender age, my father decided that it would be me."
1,2,Mr. Doofenshmirtz,"Bewege dich nicht! (""Don't move!"")"
1,2,Doofenshmirtz,"(narrating) While the other children played Kick-the-Schtumpel and eat Doonkelberries, I would stand for hours."
1,2,Mr. Doofenshmirtz,Bewege dich nicht!
1,2,Doofenshmirtz,"All through the cold night as the Spitzenhounds howled, my only companion was the moon. And my neighbor Kenny."
1,2,Mr. Doofenshmirtz,(narrating) Bewege dich nicht!
1,2,Doofenshmirtz,"And since my lawn gnome was taken away from me, I will destroy every lawn gnome in the entire Tri-State Area! Behold, the Destruct-inator! And now, Perry the Platypus, to activate my creation! (pushes a button and opens Perry's trap) NOOOO!"
1,2,Stanky Dog,Surf contest!
1,2,Buford,"Out of my way, Dinner-bell."
1,2,Phineas,"Hello, Buford. Perhaps you missed the sign."
1,2,Buford,"(reads the sign) ""No Bullying, No Yodeling""?"
1,2,Man,(Austrian accent) I don't like this any more than you do.
1,2,Stanky Dog,"First up in the surf contest is Bobby Nelson. Oh! And Nelson eats it on five-footer! And there's Django Brown shooting the curl, and here comes Buford Van Stomm! Ohh! He pummels Brown with a Philadelphia traffic stomp! And now he's got him in a Half-Nelson, now a Full-Nelson, oh! And now he's actually beating him with Bobby Nelson! Here's the scores from our judges. And Buford doesn't like it one bit. (Buford smashes the table with Bobby) Next up is Phineas Flynn, and it's great to see a young surfer show such confidence. Uh-oh, what's this? (Buford splashes through the holographic Phineas) Oh, those kids today and their holographic projections. He's in the pipeline, now he's hangin' ten! He's hanging twenty! He's hangin' thirty-two! Now he's just hangin'! The crowd loves it! I don't think there's a name for that! The crowd is doing the wave, and Phineas is surfing it! Let's go to the judges.10 to the 5th power, infinity, and oh! It seems Phineas Flynn's radical surfing has made judge #3 re-think Einstein's theory of relativity! Cowabunga, laws of nature!"
1,2,Candace,"So, are you having fun?"
1,2,Candace,"Eee... (Cell phone rings) just one second. (dreamily, on phone) Hellooooo?"
1,2,Linda,"Uh, Candace? Is everything okay?"
1,2,Candace,"Ohh, everything is just wonderful..."
1,2,Linda,And...Phineas and Ferb? What are they doing?
1,2,Candace,"Ohh, such wonderful things..."
1,2,Linda,"Candace, honey, I'm coming home."
1,2,Candace,"Wait, WHAT?"
1,2,Linda,(On phone) I'm right around the corner; I'll be there in two minutes.
1,2,Candace,"Wait! No mom, you can't! (Linda turns off the phone.) Oh, wait, wait! Uhh... (at Jeremy) Stay right there! (runs off) I've got to stop her! (Looks out the backyard gate) Oh, no, no, no, no... (Linda arrives) Mom, Mom, pleeaaasee, Mom! Go away! Don't come in!"
1,2,Isabella,Is that a volcano?
1,2,Stanky Dog,GNOOOOOMES!!! (Gnome hits him) Oof!
1,2,Man,Run for your lives!! It's gnome-ageddon!!!
1,2,Man #2,Who's protecting our gardens?!!
1,2,Linda,"Candace, tell me the truth. What is going on here?"
1,2,Candace,"(Sighs, talking fast) Phineas and Ferb built a beach in the backyard, just like they said they were going to. But instead of just a cute little beach in a sandbox; it turned out to be this absolutely huge beach, with a coastline, and palm trees, and a pier, and hula dancers, and water skiers, and tiki huts, and dolphins, and dancing, and surfing, and everybody from the neighborhood showed up-"
1,2,Doofenshmirtz,Oof!
1,2,Candace,"...and then I was just about to share a smoothie with Jeremy when a coconut dropped on my head, and ...and just for a moment, it seemed that the wily Buford would steal away the coveted surfing trophy from under the noses of our heroes...then I can only continue my benign reign and spread love, happiness and ultimate popularity throughout my kingdom! If you would just let me have my moment!"
1,2,Phineas,"Oh, there you are Perry."
1,2,Phineas,"Well everybody, looks like that's all for today!"
1,2,Crowd,Phineas and Ferb! (X3)
1,2,Candace,"If you don't believe me, go see for yourself."
1,2,Phineas,That was great.
1,2,Linda,"Hey, boys."
1,2,Phineas,"Hey, mom."
1,2,Linda,So how was your day at the beach?
1,2,Candace,"Wait, wait, my kingdom...my Jeremy...it was all so beautiful...! (panics, at Phineas and Ferb) WHAT HAVE YOU DONE TO MY PARADISE?! (pants)"
1,2,Linda,"Candace, honey, I think it's time to get you out of the sun for a little while. (she and Isabella leads Candace away.)"
1,2,Phineas,I think she had fun.
1,2,Stanky Dog,"Stanky Dog here with a special shout-out to my two new pals, Phineas and Ferb, for hosting a beach party that was hot, hot, hot. And speaking of hot, slather on the sunscreen listeners, cause tomorrow's weather calls for another scorcher."
1,2,Ferb,With a slight chance of scattered lawn gnomes.
1,3,Phil,"Oh, boy! Did that kid stink or what? But maybe YOU'VE got what it takes to be"
1,3,Candace,Auditions! Today?!
1,3,Announcer,"Yes, today! At two o'clock sharp."
1,3,Candace,"(Grabs the TV and kisses it) I gotta tell Stacy! (Runs, bringing the TV with her and falls)"
1,3,Phineas,"That pop star stuff might be fun at first, but then you'd be stuck with a dead end job. Too bad you can't just do it once and move on."
1,3,Linda,"Well, what you're talking about is a one-hit wonder."
1,3,Phineas,One-hit wonder? What's that?
1,3,Linda,"Well, a musical act goes to the top of the charts with a catchy tune and meaningless lyrics."
1,3,Singers and Lindana,Fun fun fun!
1,3,Linda,"(voiceover) Then they throw a big diva tantrum, lose their label, then fade to obscurity. Before they know it, their song ends up as"
1,3,Phineas,"(writing) A one-hit wonder... (Shows checklist, listing in order"
1,3,Candace,"But Stacy, what am I going to sing?"
1,3,Stacy,"Hello, what are you gonna wear?"
1,3,Candace,Hmmm...
1,3,Candace,What do you think?
1,3,Stacy,"Too much. (Candace wears a bikini; now offscreen.) Too little. (Candace wears a pinafore.) Ugh, too clean. (Candace wears torn cords and a hippie t-shirt.) Too dirty. (Candace wears a street clothing.) Too street. (Candace wears a goth suit.) Too goth. (Cut to her.) Where'd you get that?"
1,3,Candace,My mom's closet. You like it?
1,3,Stacy,"Nah, too retro."
1,3,Stacy,Perfect!
1,3,Candace,"Nice, huh?"
1,3,Stacy,"Yeah, you should've tried that on first."
1,3,Candace,Let's go!
1,3,Phineas,"""Chika, chika, choo...wah"". Meaningless lyrics done. How's the catchy tune coming along?"
1,3,Phineas,"Excellent! We'll be done by lunch! Hey, where'd Perry go?"
1,3,Major Monogram,Hello? Hello-oo? Anybody there?
1,3,Major Monogram,"Oh, good morning Agent P. We just received word that Dr. Doofenshmirtz has been buying up construction toys at an alarming rate. We need you to find out what he's up to and put a stop to it."
1,3,Linda,We'll meet back in the entrance in an hour.
1,3,Candace,"Come on, Stacy! We gotta hurry so we could get a spot in li -- yayaya. (realized the line's too long) I've never sang in front of so many people!"
1,3,Stacy,"Uh, Candace? (shows her a LOT more people in the audience)"
1,3,Candace,(gasps) I can't do this.
1,3,Stacy,"Oh yes, you can! You're not a quitter; you're a fighter!"
1,3,Candace,I am?
1,3,Stacy,"Sure you are! You're a lean, mean, singing machine!"
1,3,Stacy,"That's it, yeah! Now you're looking like a winner!"
1,3,Jeremy,"Hey, Candace."
1,3,Candace,"(arranges herself) And that is what a gorilla looks like when you try to take away its food. Oh! Hi, Jeremy! Are you auditioning too?"
1,3,Jeremy,Nah. I came to see this hot new band called PFT. I downloaded their song this morning. It's tight! The hundredth contestant gets to sing onstage with the band!
1,3,Candace,Really? (She walks through the entrance and becomes the 100th contestant.)
1,3,Jeremy,"Hey, looks like that's you."
1,3,Phil,Congratulations! You're the hundredth contestant! (Pulls her away)
1,3,Phil,"(over speaker) Ladies and gentlemen, this young lady has the honor of singing onstage with PFT. So now, the band you've been waiting for"
1,3,Candace,Phineas?!
1,3,Phineas,"Candace? You're the hundredth contestant? How serendipitous. This'll be like a brother and sister thing! Now I'm assuming you've heard our hit single. I mean, who hasn't, right? It's a big hit. (gives her sheet music) So here's the words; don't worry if you get lost. The lyrics are meaningless anyway. I'll point when it's your turn."
1,3,Phineas,"Ladies and gentlemen, the Ferbettes! I'm Phineas and this is Ferb, and we're gonna sing a song!"
1,3,Ferbettes,Never gonna stop!
1,3,Candace,Wait a minute! What are you doing?
1,3,Phineas,I'm cuing you?
1,3,Candace,How'd you get a hit single?!
1,3,Phineas,"Well, it wasn't easy. It took most of the morning and half a dozen phone calls. But if you're willing to put in the work-"
1,3,Candace,That's it! I'm gonna tell Mom!
1,3,Phineas,Okay...tell her what?
1,3,Candace,"(pauses) Ooh, I'm just gonna tell."
1,3,Candace,"Mom! Mom! Mom! Mom, you've gotta see this!"
1,3,Linda,(with disdain) Let me guess. Is it unbelieva- (Candace pushes her) WOOAH!
1,3,Candace,"Come on, come on, come on!"
1,3,Ben Baxter,"Hi, I'm Ben Baxter, Huge-O-Records. Why don't you come by my office in an hour and we can talk about your future."
1,3,Phineas,Future? Cool. He must be a psychic.
1,3,Candace,"Come on, come on, come on! (They arrive at the stage; she presents a shadow that appears to be Phineas and Ferb's heads.) See?! There they are onstage!!!"
1,3,Announcer,"Ladies and gentlemen, once again... (Spotlight lights up.) Marty the Rabbit Boy and His Musical Blender!"
1,3,Linda,"Hon, we're getting you an eye exam. (pulls her away)"
1,3,Candace,"No, no! Wait!"
1,3,Doofenshmirtz,"Ha ha, everything is ready!"
1,3,Doofenshmirtz,"(doorbell rings) Oh, what is it now? (opens the door and saw the disguised Perry) Oh, are you my new temp? Well, let me just get you up the speed. I know it's bit of a mess. I'm just putting the finishing touches of my latest maniacal plan. You see, in a few minutes, I will unleash an unprecedented reign of terror upon the entire... (holds a magnifying glass on the eastern coast of the U.S.) ...Tri-State Area! And Perry the Platypus will never be the wiser.(Perry removes the Groucho glasses) Perry the Platypus? You're a temp? Are times that hard?"
1,3,Candace,Ugh! I told Mom I don't need glasses! (takes off glasses) What the --
1,3,Candace,"Uh, No! No! Wait! Uggggg..."
1,3,Candace,MMMMMOOOOM?!?
1,3,Doofenshmirtz,"Sorry, Perry the Platypus, but you are too late! (pushes a lever that makes the building alive as a robot)"
1,3,Linda,"(wearing a jacket) Ooh, this one's nice."
1,3,Candace,"Mom! Come here! You've gotta see this! (drags her out, setting off the shoplifting alarm)"
1,3,Linda,Candace! I haven't payed for this yet!
1,3,Guard,Hey!
1,3,Doofenshmirtz,"Ha ha ha! When it comes to havoc, nobody wreaks like me!(Perry removes a metal cover of a storage) Wait, wait, wait, you're not supposed to touch that! (Perry removes a wire)Hey, hey, no fair!"
1,3,Isabella,"Wow, what a great painting! How did you get permission for that?"
1,3,Phineas,"Oh, they didn't mind. The building's scheduled for demolition."
1,3,Candace,Seeeeeee??!!
1,3,Candace,AAAAHHHH!!
1,3,Guard,"Uh, ma'am, you're gonna have to come back and pay for that."
1,3,Linda,"(flatly) Yes of course, officer."
1,3,Candace,AAAAHHHH!!
1,3,Guard,"Hey, weren't you Lindana?"
1,3,Linda,"Yes, I was! I can't believe you recognized me."
1,3,Guard,"Well, I was a huge fan. (pauses, serious) You still have to pay for the jacket."
1,3,Linda,(flatly) I know.
1,3,Doofenshmirtz,"Very clever, Perry the Platypus. I tried to ignore you, but you forced my hand."
1,3,Doofenshmirtz,"And now...I shall relax with a nice, tasty deli platter. Oh-ho-ho, where are my manners?"
1,3,Doofenshmirtz,"(Gives Perry his share) Here you go, Perry the Platypus. Care for some pepper? Just say when. (Continues to pour pepper) Anytime."
1,3,Ben,"(from inside) Boys, let me start by saying we love your act and we want to be... (cuts to the boardroom) ...in the Phineas and the Ferb-Tones business. And by the way, aren't you a little young to be pop stars?"
1,3,Phineas,...No.
1,3,Ben,"Well, okay then! We prepared to offer you a very lucrative contract if you'll just sign exclusively with us for your follow-up single."
1,3,Phineas,"(suddenly angry) Follow-up single? (rips up the contract under the following) Who do you think we are, some two-bit hacks who will keep writing new songs just because you pay us obscene amounts of cash?! Phineas and the Ferb-Tones are strictly a one-hit wonder! (The band enters the elevator) Good day to you, sir!"
1,3,Phineas,"Diva tantrum, check. (Pauses, listens to the ""Gitchee Gitchee Goo"" elevator music) Elevator music, check."
1,3,Ben,"Ah, who needs 'em? We still got this video tape of their performance. We could do live CDs, DVDs, pod-casts, heck, we can digitally re-create their images to make our own sitcom! The Phineas and Ferb Show! We could squeeze twenty years of entertainment out of this one video tape."
1,3,Manager,(screams) That giant robot's coming right at us!
1,3,Doofenshmirtz,"(still pouring pepper) Wow, you sure like a lot of pepper. I'm more of a paprika man myself. (Perry blows over the pepper, Dr. D coughs) It will take more than condiments to foil my brilliant plan!"
1,3,Ben,The tape!
1,3,Doofenshmirtz,AAAAHHH!
1,3,Doofenshmirtz,"AAAAAAAAHHHHH!!! (Lands on a soft mattress) Ooh! What an unbelievable stroke of luck! (The mattress folds in half) Oof! I'm okay! I'm still better than the... (gets stepped over by the robot) Curse you, Perry the Platypus!"
1,3,Phineas,"Oh, there you are, Perry. (Perry chatters; a bus pulls up and they get on) Come on, guys. We still have one thing left to do."
1,3,Phil,"And the winner of the day's ""Next Super American Pop Teen Idol Star"" is... (Screen zooms out to reveal"
1,3,Jeremy,"Hey, Candace. What's wrong?"
1,3,Candace,"I'm better than that guy. Oh, I should've taken blender lessons."
1,3,Jeremy,So why did you run off earlier?
1,3,Candace,My brothers. (sighs) They always ruin everything.
1,3,Jeremy,"Well, you like to sing, right?"
1,3,Candace,Yeah.
1,3,Jeremy,"Then you shouldn't let your brothers' fun ruin your good time. You know, if you get a chance to sing, you oughta sing. I gotta go, I'll see you later. (Walks away)"
1,3,Phineas,"(offscreen) Hey Candace. (Shows the stage for the PFT Reunion Concert) You're still the hundredth contestant, wanna come up and help us out?"
1,3,Candace,That was great! I've been thinking of my brothers all wrong! They're not a nuisance. They're my ticket to-
1,3,Phineas,"Thanks, you've been great! This is the last time we're ever gonna sing that song. We're retiring, good night!"
1,3,Mall Operator,(via loud speaker) The mall is now closed and will re-open at 9
1,3,Announcer,"You loved her in the '80s. Get ready to love her again. Lindana's mega hit ""I'm Lindana and I Wanna Have Fun"", and been remixed and re-translated into your favorite languages"
1,3,Phineas,"Hey, Mom. Whatcha watchin'?"
1,3,Linda,"Oh, nothing."
1,4,Phineas,"So Ferb, what should we do today? I mean, besides giving Perry a bath."
1,4,Phineas,(peeking over the fence) What is that wonderful noise?
1,4,Phineas,"Awesome. Ferb, I know what we're gonna do today!"
1,4,Candace,"Oh, I have got to take a new picture of myself for my blog. I didn't realize mine is already a week old. (Takes a picture of herself) That's better."
1,4,Candace,WHAT ARE YOU DOING TO MOM'S CAR?!
1,4,Phineas,We tricked it out!
1,4,Candace,You don't even know how to drive.
1,4,Phineas,"Well, duh. That's why Ferb built this remote."
1,4,Candace,"(deeply) Oh, you are so busted."
1,4,Candace,"(opens door) Mom?! (closes door, opens another) Mom?! (closes door, opens another) Mom?! (closes door, reenters garage) Um, where's Mom? (smiles awkwardly)"
1,4,Phineas,She's playing bridge at Mrs. Garcia-Shapiro's!
